VIN;V(vo)
3.000000000000000e+00;1.787856e+00
4.000000000000000e+00;2.764402e+00
5.000000000000000e+00;3.747102e+00
6.000000000000000e+00;4.732818e+00
7.000000000000000e+00;5.007802e+00
8.000000000000000e+00;5.009502e+00
9.000000000000000e+00;5.011174e+00
1.000000000000000e+01;5.012829e+00
1.100000000000000e+01;5.014470e+00
1.200000000000000e+01;5.016099e+00
1.300000000000000e+01;5.017720e+00
1.400000000000000e+01;5.019333e+00
1.500000000000000e+01;5.020940e+00
1.600000000000000e+01;5.022542e+00
1.700000000000000e+01;5.024140e+00
1.800000000000000e+01;5.025735e+00
1.900000000000000e+01;5.027326e+00
2.000000000000000e+01;5.028915e+00
2.100000000000000e+01;5.030503e+00
2.200000000000000e+01;5.032088e+00
2.300000000000000e+01;5.033672e+00
2.400000000000000e+01;5.035256e+00
2.500000000000000e+01;5.036839e+00
2.600000000000000e+01;5.038420e+00
2.700000000000000e+01;5.040002e+00
2.800000000000000e+01;5.041584e+00
2.900000000000000e+01;5.043165e+00
3.000000000000000e+01;5.044746e+00
3.100000000000000e+01;5.046328e+00
3.200000000000000e+01;5.047910e+00
3.300000000000000e+01;5.049493e+00
3.400000000000000e+01;5.051076e+00
3.500000000000000e+01;5.052660e+00
